Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
N64,1994,0.91,0.46,0.18,0.15,Racing
2600,1972,0.61,0.73,0.83,0.4,Platform
PSP,2009,0.21,0.23,0,0.14,Action
PSP,2007,0.08,0.27,0,0.15,Racing
XOne,2016,0.03,0.08,0,0.01,Racing
PC,2011,0,0.07,0,0.02,Action
PSV,2014,0,0,0.04,0,Racing
GBA,2001,0.1,0.04,0,0,Platform
3DS,2016,0,0,0.01,0,Action
PSV,2004,0.72,0.26,0.37,0.89,Adventure
DS,2007,0.01,0,0,0,Platform
PS2,2003,0.09,0.07,0,0.02,Adventure
2600,1981,1.36,0.08,0,0.02,Platform
PS2,2008,0.01,0.01,0,0,Racing
Wii,2008,0.31,0.02,0,0.03,Action
GC,2002,0.04,0.01,0,0,Platform
SCD,1993,1,0.36,0.09,0.05,Platform
DS,2009,0.15,0,0,0.01,Action
WiiU,2016,0.02,0.01,0,0,Platform
DS,2009,0.41,0.16,0,0.05,Platform
PS2,2007,0.19,0.15,0,0.05,Action
PS,1998,0.99,0.64,0,0.08,Platform
WiiU,2006,0.18,0.02,0.6,0.79,Platform
PS,1998,0.07,0.04,0,0.01,Racing
DS,2005,0.15,0,0,0,Action
Wii,2008,1.26,0.67,0.02,0.21,Platform
DS,2006,0.23,0,0,0.02,Action
PS3,2010,0.12,0.08,0,0.04,Platform
PS2,2004,0.37,0.47,0.54,0.07,Action
XB,2006,0.01,0,0,0,Racing
DS,2006,0.03,0,0,0,Action
PC,2016,0,0.01,0,0,Action
Wii,2010,0.63,0.62,0,0.14,Action
PS2,2007,0.01,0.01,0,0,Racing
PS4,2016,0.15,0.15,0.03,0.06,Adventure
PS,2000,0.04,0.03,0,0,Action
PS2,1996,0.78,0.77,0.22,0.52,Action
WiiU,2015,0.03,0.02,0,0,Action
GBA,2004,0,0,0.07,0,Action
PC,2009,0,0.28,0,,Action
PS2,2003,0.22,0.17,0,0.06,Action
DS,2010,0.12,0.01,0,0.01,Adventure
WiiU,2016,0,0.01,0,0,Action
PS,1998,0.03,0.02,0.07,0.01,Adventure
PS2,2005,2.08,0.83,0.46,0.25,Action
PSV,2006,0.97,0.03,0.43,0.63,Action
DS,2008,0.35,0.12,0,0.05,Action
PSP,2007,0,0.04,0,0.01,Platform
GBA,2002,0.1,0.04,0,0,Action
PS3,2013,0.24,0.26,0.19,0.1,Action
PSP,2011,0,0,0.14,0,Adventure
X360,2008,0.12,0.06,0,0.02,Racing
PSV,2015,0,0.03,0.05,0.01,Adventure
SAT,1997,0,0,0.06,0,Platform
X360,2009,0.13,0.12,0,0.03,Action
PC,2014,0,0.01,0,0,Action
3DS,2015,0,0,0.05,0,Action
PS2,2006,0,0,0.26,0,Action
XOne,2015,0.55,0.7,0.02,0.11,Adventure
PS2,2007,0.31,0.01,0,0.05,Action
N64,1993,0.45,0.94,0.82,0.6,Platform
Wii,2010,0.21,0.01,0,0.02,Platform
X360,2010,0.11,0.04,0,0.01,Adventure
X360,2008,0.12,0.1,0,0.03,Action
XB,2002,0.04,0.01,0.04,0,Action
PS4,2014,1.88,2,0.07,0.77,Action
XOne,2015,0.44,0.39,0,0.08,Action
PC,2015,0,0.12,0,0.01,Racing
PS,1999,0.03,0.02,0,0,Action
PS,1998,0,0,0.05,0,Racing
PS2,2004,0.13,0.1,0,0.03,Racing
2600,1982,0.26,0.02,0,0,Action
DS,2009,0.54,0.42,0,0.11,Adventure
GB,,0.68,0.31,0,0.04,Platform
PS,2001,0.06,0.04,0,0.01,Adventure
N64,1999,0.1,0.02,0,0,Platform
PS3,2010,0,0,0.21,0,Action
3DS,2011,0.05,0.09,0,0.02,Action
Wii,2010,0.2,0.11,0.04,0.03,Action
PS,1998,0,0,0.19,0.01,Adventure
PS3,2015,0.03,0,0,0.01,Action
Wii,2010,0.03,0,0,0,Racing
PS3,2013,0,0,0.08,0,Adventure
PS3,2012,0.47,0.13,0.02,0.1,Action
WiiU,2014,0.58,0.42,0.13,0.1,Action
PS2,2005,0.1,0.08,0,0.03,Action
PSV,2016,0,0,0.02,0,Adventure
SAT,2001,0.95,0.1,0.08,0.51,Racing
3DS,2015,0,0.02,0,0,Action
XB,2002,0.59,0.57,0,0.07,Platform
PS,1995,0,0,0.03,0,Adventure
3DS,2011,0.27,0.16,0.02,0.04,Racing
N64,1999,0.31,0.07,0,0,Action
XB,2001,0.21,0.06,0,0.01,Action
PS,2002,0.01,0.01,0,0,Platform
3DS,2011,0.23,0.35,0,0.06,Platform
PS,2000,0.32,0.22,0,0.04,Action
N64,1989,0.82,0.5,0.95,0.02,Adventure
X360,2010,0.07,0.09,0,0.02,Racing
PC,2016,0,0.01,0,0,Racing
DS,2011,0.03,0.04,0,0.01,Adventure
PS3,2009,1.96,1.41,1.08,0.64,Action
PSP,2006,0.11,0,0,0.01,Adventure
PSV,2016,0,0,0.01,0,Action
NES,1987,2.19,0.5,1.61,0.08,Adventure
PS,1998,0.19,0.13,0,0.02,Action
PS4,2015,0.1,0.09,0,0.04,Action
PSP,2010,0,0,0.04,0,Adventure
PS2,2003,0,0.47,0.77,0.17,Racing
PC,2009,0,0.02,0,0,Action
PS4,2015,0,0.02,0,0,Action
XB,2004,0.04,0.01,0,0,Racing
Wii,2006,0.04,0.01,0.01,0,Action
PS2,1985,0.68,0.13,0.46,0.8,Platform
WiiU,2010,0.25,0.62,0.7,0.16,Platform
X360,2008,0.04,0,0,0,Action
SAT,1995,0,0,0.03,0,Adventure
XB,2003,0.1,0.03,0,0,Platform
DS,2008,0.21,0,0,0.02,Adventure
GC,,0.22,0.06,0,0.01,Action
PS4,2010,0.41,0.31,0.32,0.03,Platform
PS,1997,2.3,2.46,0.2,0.28,Action
X360,2011,0.16,0.06,0,0.02,Action
3DS,2013,0,0,0.03,0,Platform
PC,2009,0,0.04,0,0.01,Adventure
DS,2008,0,0,0.05,0,Adventure
PS2,2005,0.03,0.02,0,0.01,Action
2600,1981,0.42,0.03,0,0,Action
PSP,2007,0.03,0,0,0,Racing
WiiU,2013,0.04,0.07,0,0.01,Action
PSV,2015,0,0,0.01,0,Action
XB,2004,0.02,0,0,0,Action
PC,2015,0,0.03,0,0,Action
GBA,2004,0.09,0.03,0,0,Platform
PS3,2011,0.02,0,0,0,Action
PS3,2012,0,0,0.01,0,Adventure
PS2,2006,0.19,0.15,0,0.05,Platform
PSP,2009,0.24,0.06,0,0.05,Action
X360,2009,0.12,0.14,0,0.03,Action
WiiU,2007,0.15,0.14,0.01,0.53,Platform
XB,2003,0.15,0.04,0,0.01,Platform
DS,2008,0.15,0,0,0.01,Action
PS4,2016,0.72,0,0,0.17,Action
XB,2005,0.02,0,0,0,Action
PC,2011,0,0.13,0,0.03,Racing
GC,2004,0.03,0.01,0,0,Platform
PSP,2005,2.9,2.81,0.24,1.73,Action
PSP,2011,0.14,0.15,0,0.08,Action
PS2,2006,1.01,0.04,0,0.16,Racing
PSP,2007,0.44,0.67,0,0.37,Racing
PS,2001,1.37,2,0.14,0.22,Action
PSV,2012,0,0.04,0,0.01,Racing
PC,2002,0,0.01,0,0,Action
PC,2010,0,0.01,0,0,Action
PS3,2015,0,0,0.11,0,Action
PSP,2006,0.58,0.5,0,0.32,Action
PS2,2001,0.08,0.06,0,0.02,Racing
TG16,2008,0.37,0.12,0.22,0.63,Racing
DS,2008,0,0,0.04,0,Adventure
3DS,2014,0,0,0.13,0,Adventure
Wii,2011,0.08,0.03,0,0.01,Racing
PS,1999,0.12,0.08,0,0.01,Racing
PSV,2013,0,0,0.02,0,Adventure
3DS,2014,0.01,0.08,0,0.01,Action
PSP,2007,0,0,0.22,0,Action
PS3,2011,0.07,0.04,0,0.02,Adventure
PS2,2003,0.33,0.25,0,0.09,Platform
GBA,2004,0.05,0.02,0,0,Action
Wii,2010,0.17,0.09,0,0.02,Platform
PS3,2014,0,0,0.04,0,Adventure
PS3,2009,0.27,0.52,0,0.19,Racing
GC,2003,0.16,0.04,0,0.01,Action
PS3,2009,0.14,0.03,0.15,0.02,Action
Wii,2009,0.06,0.04,0,0.01,Adventure
3DS,2012,0,0,0.14,0,Action
Wii,2006,0.12,0,0,0.01,Action
PSP,2010,0,0,0.04,0,Adventure
PSV,2015,0,0,0.01,0,Action
PS4,2015,0,0.06,0,0.01,Adventure
Wii,2008,0.15,0,0,0.01,Adventure
PSV,2014,0,0.01,0,0,Racing
PC,2006,0,0.02,0,0,Action
X360,2007,0.3,0.12,0,0.04,Action
X360,,0.25,0.15,0,0.04,Action
GBA,2003,0.2,0.07,0,0.01,Racing
PS3,2007,0,0,0.08,0,Adventure
PC,2008,0,0.02,0,0,Adventure
XOne,2016,0.01,0,0,0,Action
PS3,2014,0.09,0.1,0.06,0.04,Action
PS,2000,0.31,0.21,0,0.04,Action
N64,1998,0.06,0.02,0.13,0.1,Platform
PS2,2009,0,0,0.13,0,Adventure
DS,2010,0.17,0.03,0,0.02,Action
GC,2002,0.07,0.02,0,0,Racing
GC,2002,0.03,0.01,0,0,Platform
N64,1999,0.06,0.02,0.05,0,Platform
X360,2011,0.37,0.13,0,0.04,Racing
PS4,2016,0.02,0.05,0,0.01,Racing
PSV,2016,0,0,0.01,0,Adventure
3DS,2012,0.38,0.2,0,0.05,Action
DS,2007,0.56,0.77,0,0.17,Action
3DS,2012,0.18,0,0,0.02,Action
Wii,2009,0.03,0.01,0,0,Racing
N64,1998,0.36,0.08,0,0.01,Action
3DS,2011,0.07,0.08,0,0.02,Racing
PS4,2015,0,0,0.01,0,Adventure
PS,1999,0.29,0.2,0,0.03,Action
PS2,2006,0,0,0.05,0,Action
2600,1981,0.37,0.02,0,0,Action
GBA,2003,0.18,0.07,0.17,0.01,Platform
Wii,2011,0.06,0.01,0,0.01,Action
PSV,2014,0,0.01,0,0,Action
PSV,2008,0.2,0.68,0.76,0.22,Platform
PS,1995,0.26,0.18,0,0.03,Action
XB,2004,0.12,0.04,0,0.01,Racing
PSP,2010,0.09,0.13,0.01,0.07,Action
TG16,2003,0.81,0.5,0.1,0.18,Adventure
PSP,2007,0.09,0.08,0,0.05,Action
PS2,2009,0.13,0.18,0,0.29,Platform
2600,1983,0.38,0.02,0,0,Adventure
PC,2003,0,0.03,0,0.01,Action
Wii,2009,0.15,0.62,0,0.11,Racing
GBA,2002,0.92,0.35,0.01,0.05,Action
PS2,2004,0.02,0.01,0,0,Action
DS,2005,0.1,0,0,0.01,Racing
GBA,2005,0,0,0.7,0.02,Action
PS,1998,0.07,0.05,0,0.01,Action
GBA,2007,0.16,0.06,0,0,Adventure
PSV,2015,0,0,0.03,0,Adventure
PS2,2002,0.04,0.03,0,0.01,Action
Wii,2011,0.04,0,0,0,Platform
WiiU,2013,0.47,0.42,0.13,0.08,Platform
PS,2001,0.07,0.05,0,0.01,Adventure
Wii,2010,0,0.01,0,0,Adventure
PS,1997,0.39,0.26,0.12,0.05,Adventure
Wii,2002,0.03,0.13,0.24,0.05,Platform
XB,2002,0.05,0.02,0,0,Platform
DS,,0.26,0.01,0,0.02,Action
DS,2010,0.15,0,0,0.01,Action
PS2,2003,0.05,0.04,0,0.01,Racing
PS4,2015,0,0.02,0,0,Action
GC,2003,0.05,0.01,0,0,Action
X360,2008,0.16,0.23,0,0.05,Action
XB,2006,0.05,0.01,0,0,Racing
XB,2005,0.09,0.03,0,0,Action
DS,2010,0.11,0.01,0,0.01,Action
3DS,2015,0.02,0.11,0.19,0.01,Action
PSP,2011,0,0,0.11,0,Action
PS2,1997,0.58,0.98,0.83,0.14,Racing
Wii,2012,0.1,0.04,0,0.01,Action
XB,2003,0.02,0.01,0,0,Racing
2600,1982,0.67,0.04,0,0.01,Platform
GBA,2003,0.2,0.07,0,0,Platform
PSP,2011,0,0,0.04,0,Adventure
N64,1997,1.37,0.41,0.04,0.04,Platform
X360,2009,0.07,0,0,0.01,Action
PS2,2006,0.28,0.22,0.11,0.07,Racing
PSP,2012,0,0,0.02,0,Action
PS2,2006,0.01,0.01,0,0,Platform
PS2,2002,0.15,0.12,0,0.04,Racing
PS3,2008,0.43,0.69,0.01,0.26,Action
XB,2003,0.04,0.01,0,0,Action
GBA,2005,0.02,0.01,0,0,Platform
PS2,2006,0,0,0.02,0,Adventure
GBA,2001,0.34,0.13,0,0.01,Racing
DS,2009,0.42,0,0,0,Action
GBA,2003,0.39,0.14,0,0.01,Platform
DS,2005,0.06,0,0,0.01,Action
PS,2000,0.25,0.17,0,0.03,Racing
PSP,2012,0,0,0.1,0,Action
PS,2001,0.02,0.01,0,0,Adventure
PS,2001,0.04,0.02,0,0,Action
DS,2007,0.06,0,0,0,Adventure
X360,2006,0.1,0,0,0.01,Racing
PS,1999,0.03,0.02,0,0,Action
PSP,2013,0,0,0.18,0,Action
PS,2000,0.02,0.01,0,0,Action
DS,2006,1.59,0.8,0,0.26,Action
DS,,0.07,0,0,0,Action
3DS,2014,0.21,,0,0.04,Action
GC,2002,0.29,0.07,0,0.01,Platform
DS,2011,0.48,0.06,0.41,0.05,Platform
DS,2008,0.08,0.35,0,0.05,Adventure
PC,2016,0,0.03,0,0,Racing
PSV,2014,0.02,0.02,0.17,0.01,Action
WiiU,2008,0.1,0.29,0.68,0.78,Platform
PS,1996,0.03,0.02,0,0,Racing
PS3,2008,0.14,0.01,0,0.02,Action
Wii,2010,0.03,0,0,0,Racing
PS,1995,0.05,0.03,0.21,0.02,Platform
PSP,2006,0.05,0,0,0,Platform
Wii,2008,0.49,0,0,0.04,Action
PSV,2012,0.12,0.33,0,0.09,Platform
PSV,2009,0.81,0.18,0.67,0.57,Racing
Wii,2013,0,0.03,0,0,Action
PS3,2012,0.35,0.35,0.01,0.14,Action
DS,2006,0.27,0,0,0.02,Action
DS,2009,0.6,0.16,0,0.07,Action
PS2,2000,0.77,0.6,0,0.2,Racing
SNES,2010,1.98,0.12,0.36,0.29,Racing
WiiU,2016,0,0.03,0,0,Action
3DS,2014,0,0,0.01,0,Action
GC,2004,0.01,0,0,0,Action
DS,2008,0.41,0.25,0,0.07,Action
PSV,2013,0,0,0.08,0,Action
PS,1999,1.3,0.77,1.54,0.11,Action
PS2,2003,0.46,0.36,0,0.12,Action
PS4,2016,0.01,0.05,0.01,0.01,Action
DS,2005,0.36,0,0.32,0.03,Platform
PC,2011,0.12,0.07,0,0.03,Action
GC,2003,0.05,0.01,0,0,Action
NES,1989,0.4,0.07,0.37,0.01,Platform
DS,2009,0.07,0,0,0.01,Action
DS,2008,0.09,0,0,0.01,Action
GBA,2002,0.25,0.09,0,0.01,Action
DS,2010,0,0,0.1,0,Adventure
PS2,2010,0.13,0.06,0,0.04,Platform
PS2,1992,0.86,0.07,0.63,0.85,Adventure
PS,1996,0.04,0.03,0,0.01,Platform
PSP,2006,2.45,1.01,0,0.75,Platform
PSP,2005,0.07,0,0,0.01,Platform
PSV,2014,0.08,0.01,0.06,0.03,Adventure
PC,2007,0,0.03,0,0,Action
PS2,2008,0.25,0.19,0,0.06,Platform
PS3,2011,0,0,0.05,0,Adventure
XB,2004,0.09,0.03,0,0,Racing
PS3,2009,1.76,0.68,0.12,0.37,Action
PC,2015,0,0.02,0,0,Action
3DS,2013,0,0,0.42,0,Action
X360,2010,0.11,0.03,0.02,0.01,Action
PS4,2015,0.06,0,0,0.01,Action
XB,2005,0.03,0.01,0,0,Racing
DS,2006,0.12,0,0,0.01,Platform
PSP,2009,0,0,0.01,0,Adventure
DS,2007,0,0,0.02,0,Adventure
PS2,2002,0.06,0.05,0,0.02,Racing
PS2,2005,0.05,0.04,0,0.01,Action
PS,1996,0.13,0.09,0,0.02,Action
PSP,2009,0.18,0.03,0,0.03,Racing
XOne,2016,0.03,0.02,0,0.01,Racing
DS,2007,0.3,0.01,0.01,0.03,Action
PS2,2008,0.13,0.1,0.03,0.03,Platform
PS4,2014,0.45,0.47,0.17,0.18,Action
PS3,2016,0.01,0.04,0,0.01,Adventure
PS3,,0.36,0.41,0,0.15,Action
PSP,2005,0.1,0,0,0.01,Action
X360,2010,0.3,0.26,0,0.06,Action
2600,1981,0.72,0.04,0,0.01,Action
GBA,2005,0.45,0.17,0.14,0.01,Platform
N64,1998,0.25,0.06,0,0,Racing
XB,2004,0.07,0.02,0,0,Action
XB,2006,0.06,0.02,0,0,Action
XB,2005,0.34,0.17,0,0.02,Action
PSV,2016,0,0,0.02,0,Adventure
DS,2008,0.11,0.02,0,0.01,Action
PS2,2003,0.54,0.35,0.46,0.1,Action
X360,2007,0.22,0.01,0,0.02,Action
PS2,2008,0.24,0,0,0.41,Action
PS,1997,0.05,0.04,0,0.01,Action
PS,1996,0.03,0.02,0,0,Racing
PS2,2005,0.36,0.45,0,0.14,Action
GC,2003,0.06,0.02,0,0,Action
PS,1995,1.54,1.33,0,0.16,Platform
GC,2004,0.31,0.08,0,0.01,Action
3DS,,0,0,0.11,0,Action
Wii,2006,0.8,0,0.01,0.07,Racing
Wii,2008,0.1,0,0,0.01,Platform
PS2,2003,0.19,0.15,0,0.05,Action
GC,2002,0.16,0.04,0,0.01,Action
PS3,2011,0,0,0.03,0,Adventure
3DS,2012,0.06,0.08,0,0.01,Platform
PSP,2007,0.03,0,0,0,Platform
DS,2006,0.1,0,0,0.01,Adventure
Wii,2008,0.02,0,0,0,Racing
DS,2010,0.06,0,0,0,Action
GC,2002,0.15,0.04,0,0.01,Platform
PSP,2013,0,0,0.03,0,Adventure
SNES,1992,0,0,0.16,0,Adventure
PS,2000,0.36,0.24,0,0.04,Adventure
NES,1988,0.93,0.15,0.42,0.01,Action
PC,2011,0,0.05,,0.01,Adventure
X360,2014,0.58,0.34,0,0.09,Action
PS2,2003,0.61,0.48,0,0.16,Action
PS2,2003,0.03,0.02,0,0.01,Platform
3DS,2013,0.42,0.36,0.04,0.07,Action
GBA,2003,0.03,0.01,0,0,Platform
PS,1997,0.65,0.44,0,0.08,Racing
PS2,2008,0.06,0.04,0,0.01,Adventure
PS2,2004,0.69,0.54,0,0.18,Racing
NES,1987,0.45,0.06,0.42,0,Platform
XB,2002,0.05,0.02,0,0,Action
PSV,2016,0,0,0.05,0,Action
N64,1997,0.09,0.02,0,0,Action
GB,1992,2.71,0.61,1.7,0.11,Platform
PS3,2011,0.06,0.15,0,0.05,Action
PS2,2004,0.26,0.2,0,0.07,Platform
GBA,2004,0,0,0.08,0,Action
SNES,2017,0.18,1.15,0.79,1,Action
PS2,2005,0.04,0.03,0.09,0.01,Action
DS,2007,0.28,0.04,0.64,0.03,Adventure
NES,1983,0.33,0.07,0.7,0.01,Platform
DS,2008,0.07,0,0,0,Action
DS,2009,0.23,0,0,0.02,Adventure
DS,2007,,0.46,0,0.1,Action
PS3,2012,0.12,0.63,0.05,0.23,Racing
XB,2001,0.25,0.1,0,0.01,Platform
