godine,bracni_status,rasa,tip_posla,zdravstveno_osiguranje,plata,obrazovanje
46.0,sami,bela,industrijski,da,54343.0,osnovne studije
51.0,sami,crna,informacioni,da,,osnovne studije
51.0,u braku,,informacioni,da,32875.0,master
30.0,udovci,bela,informacioni,da,130340.0,osnovne studije
54.0,u braku,crna,informacioni,da,30140.0,osnovne studije
30.0,u braku,bela,informacioni,da,55235.0,osnovne studije
25.0,u braku,bela,industrijski,da,71603.0,master
52.0,u braku,bela,industrijski,ne,56746.0,doktorat
41.0,sami,bela,informacioni,da,63244.0,osnovne studije
44.0,u braku,bela,informacioni,da,85176.0,
31.0,sami,bela,industrijski,da,47124.0,osnovne studije
38.0,sami,crna,industrijski,da,,osnovne studije
39.0,udovci,bela,informacioni,da,55420.0,master
36.0,,bela,informacioni,da,50065.0,osnovne studije
36.0,u braku,azijska,industrijski,da,44011.0,master
30.0,udovci,bela,informacioni,da,27566.0,master
36.0,sami,bela,industrijski,da,76707.0,osnovne studije
46.0,,azijska,industrijski,da,57319.0,osnovne studije
26.0,u braku,bela,industrijski,ne,25341.0,osnovne studije
17.0,u braku,crna,industrijski,ne,51981.0,osnovne studije
43.0,u braku,,industrijski,da,66659.0,osnovne studije
15.0,u braku,bela,,da,49485.0,master
41.0,u braku,bela,informacioni,ne,48628.0,osnovne studije
45.0,sami,bela,informacioni,da,48809.0,master
30.0,u braku,crna,informacioni,,54301.0,osnovne studije
25.0,sami,azijska,industrijski,da,99055.0,osnovne studije
40.0,u braku,bela,industrijski,da,60482.0,osnovne studije
42.0,sami,bela,informacioni,ne,51928.0,master
52.0,u braku,bela,informacioni,da,39838.0,osnovne studije
37.0,sami,bela,industrijski,da,41233.0,doktorat
40.0,,druga,industrijski,da,64654.0,master
52.0,udovci,druga,,ne,64300.0,doktorat
50.0,u braku,druga,informacioni,da,133095.0,master
34.0,u braku,bela,industrijski,da,52379.0,master
43.0,sami,bela,informacioni,ne,75291.0,osnovne studije
37.0,u braku,bela,industrijski,ne,43200.0,master
31.0,sami,bela,informacioni,da,67382.0,osnovne studije
45.0,u braku,bela,informacioni,ne,54753.0,master
45.0,u braku,druga,informacioni,da,62434.0,osnovne studije
46.0,sami,bela,informacioni,da,64774.0,osnovne studije
40.0,u braku,crna,industrijski,ne,58891.0,osnovne studije
,udovci,crna,industrijski,da,36238.0,osnovne studije
46.0,,azijska,industrijski,da,31586.0,osnovne studije
55.0,u braku,bela,industrijski,da,48035.0,osnovne studije
46.0,u braku,crna,industrijski,da,43623.0,osnovne studije
37.0,sami,crna,industrijski,da,66866.0,osnovne studije
26.0,sami,crna,industrijski,da,30532.0,osnovne studije
37.0,sami,bela,industrijski,da,28668.0,osnovne studije
35.0,u braku,bela,informacioni,da,32903.0,
46.0,sami,bela,informacioni,da,38227.0,doktorat
31.0,u braku,bela,informacioni,ne,44746.0,osnovne studije
37.0,u braku,azijska,industrijski,da,70258.0,osnovne studije
29.0,udovci,crna,informacioni,da,55061.0,master
32.0,u braku,bela,industrijski,da,125620.0,master
49.0,udovci,crna,industrijski,da,54432.0,doktorat
54.0,u braku,crna,informacioni,da,68440.0,osnovne studije
40.0,u braku,bela,informacioni,ne,35723.0,osnovne studije
45.0,u braku,bela,,da,63162.0,osnovne studije
51.0,,bela,informacioni,da,31512.0,master
,udovci,bela,,da,30373.0,master
36.0,u braku,bela,informacioni,da,69251.0,doktorat
35.0,u braku,azijska,industrijski,da,68562.0,master
47.0,u braku,bela,informacioni,da,89295.0,osnovne studije
,u braku,,informacioni,da,33227.0,
51.0,u braku,bela,industrijski,da,46818.0,master
42.0,u braku,azijska,informacioni,da,,doktorat
28.0,u braku,bela,industrijski,da,61316.0,osnovne studije
38.0,u braku,,industrijski,da,63533.0,osnovne studije
39.0,u braku,bela,industrijski,ne,28108.0,osnovne studije
44.0,u braku,azijska,,da,65576.0,osnovne studije
58.0,udovci,crna,industrijski,ne,65665.0,master
56.0,sami,bela,industrijski,ne,47139.0,master
24.0,u braku,bela,industrijski,da,49607.0,osnovne studije
46.0,u braku,bela,informacioni,da,45602.0,osnovne studije
34.0,u braku,crna,industrijski,da,43475.0,osnovne studije
23.0,sami,bela,informacioni,da,59041.0,master
32.0,sami,druga,industrijski,da,74019.0,osnovne studije
43.0,udovci,crna,industrijski,da,105665.0,osnovne studije
46.0,sami,crna,industrijski,da,37747.0,master
41.0,u braku,druga,industrijski,da,,osnovne studije
37.0,u braku,,industrijski,da,39358.0,master
39.0,u braku,crna,industrijski,da,52656.0,osnovne studije
42.0,u braku,bela,industrijski,ne,32101.0,osnovne studije
45.0,u braku,bela,informacioni,da,93006.0,osnovne studije
40.0,u braku,,informacioni,da,44438.0,osnovne studije
26.0,u braku,azijska,industrijski,da,58134.0,osnovne studije
34.0,udovci,azijska,informacioni,da,57479.0,osnovne studije
26.0,sami,azijska,informacioni,,26320.0,osnovne studije
40.0,u braku,druga,industrijski,da,68201.0,master
36.0,u braku,bela,informacioni,da,44368.0,master
36.0,u braku,azijska,industrijski,da,37999.0,osnovne studije
44.0,u braku,azijska,industrijski,da,58586.0,master
41.0,udovci,bela,informacioni,da,57504.0,osnovne studije
51.0,sami,bela,informacioni,da,111042.0,osnovne studije
44.0,sami,azijska,,ne,58959.0,osnovne studije
37.0,u braku,bela,informacioni,da,85411.0,osnovne studije
,sami,bela,informacioni,,67387.0,master
,u braku,bela,informacioni,ne,70672.0,osnovne studije
17.0,u braku,bela,,da,68393.0,osnovne studije
27.0,u braku,bela,industrijski,da,87706.0,osnovne studije
26.0,sami,bela,industrijski,ne,32154.0,osnovne studije
29.0,sami,bela,industrijski,,,osnovne studije
36.0,udovci,druga,industrijski,da,53834.0,osnovne studije
47.0,sami,bela,,da,63426.0,master
39.0,sami,crna,industrijski,da,64166.0,master
39.0,sami,bela,industrijski,ne,70638.0,
50.0,sami,bela,industrijski,ne,55597.0,osnovne studije
40.0,sami,druga,informacioni,da,79263.0,
45.0,u braku,bela,informacioni,da,60172.0,osnovne studije
,,,informacioni,da,45356.0,osnovne studije
34.0,udovci,crna,industrijski,da,40308.0,osnovne studije
28.0,,azijska,industrijski,da,51836.0,osnovne studije
50.0,sami,azijska,informacioni,da,53582.0,master
36.0,u braku,crna,industrijski,da,38368.0,master
32.0,u braku,azijska,informacioni,,48119.0,osnovne studije
41.0,u braku,crna,informacioni,da,,doktorat
50.0,sami,bela,industrijski,ne,61031.0,osnovne studije
55.0,u braku,bela,industrijski,da,20478.0,doktorat
42.0,,bela,informacioni,ne,39111.0,doktorat
37.0,u braku,bela,informacioni,da,44713.0,osnovne studije
21.0,u braku,bela,informacioni,ne,39754.0,
42.0,u braku,bela,industrijski,da,54726.0,master
41.0,u braku,azijska,informacioni,da,59790.0,osnovne studije
23.0,u braku,bela,informacioni,da,72066.0,osnovne studije
38.0,u braku,bela,informacioni,da,55389.0,
32.0,u braku,druga,industrijski,,51978.0,osnovne studije
40.0,u braku,,industrijski,da,67530.0,osnovne studije
33.0,u braku,bela,informacioni,ne,54335.0,master
45.0,u braku,bela,industrijski,,81732.0,
39.0,u braku,crna,industrijski,da,,master
39.0,udovci,azijska,informacioni,da,63043.0,osnovne studije
33.0,u braku,bela,informacioni,da,72515.0,osnovne studije
46.0,u braku,crna,informacioni,da,80762.0,doktorat
67.0,u braku,bela,informacioni,da,42080.0,osnovne studije
22.0,sami,bela,informacioni,da,35096.0,osnovne studije
29.0,sami,bela,industrijski,da,31711.0,master
28.0,u braku,bela,industrijski,da,27079.0,master
18.0,u braku,azijska,industrijski,da,44544.0,master
41.0,udovci,crna,informacioni,ne,50604.0,osnovne studije
57.0,sami,bela,industrijski,da,78525.0,doktorat
,u braku,bela,industrijski,da,,osnovne studije
46.0,u braku,bela,,da,48041.0,master
29.0,u braku,druga,industrijski,ne,87033.0,
32.0,u braku,azijska,informacioni,ne,29229.0,master
39.0,u braku,bela,informacioni,ne,,master
35.0,u braku,bela,informacioni,da,61695.0,osnovne studije
46.0,udovci,bela,industrijski,ne,42194.0,osnovne studije
55.0,sami,crna,informacioni,ne,41372.0,
39.0,sami,crna,industrijski,da,40317.0,osnovne studije
37.0,udovci,druga,industrijski,da,49107.0,master
20.0,u braku,azijska,informacioni,ne,40629.0,
23.0,sami,druga,informacioni,ne,82152.0,osnovne studije
58.0,sami,bela,informacioni,da,60456.0,master
41.0,u braku,crna,industrijski,da,49563.0,osnovne studije
53.0,u braku,bela,industrijski,da,71349.0,master
38.0,udovci,bela,informacioni,da,36298.0,osnovne studije
27.0,u braku,druga,industrijski,ne,38522.0,osnovne studije
22.0,u braku,druga,informacioni,da,53278.0,
51.0,u braku,azijska,informacioni,da,70471.0,osnovne studije
46.0,udovci,druga,,da,31320.0,osnovne studije
34.0,u braku,crna,industrijski,da,58160.0,doktorat
,udovci,bela,industrijski,da,30405.0,master
50.0,u braku,bela,industrijski,da,47106.0,osnovne studije
20.0,u braku,bela,industrijski,da,74558.0,osnovne studije
54.0,sami,crna,informacioni,da,54789.0,master
53.0,u braku,bela,industrijski,ne,41036.0,osnovne studije
36.0,udovci,druga,informacioni,da,39905.0,doktorat
36.0,u braku,druga,informacioni,da,,
25.0,sami,bela,informacioni,da,51015.0,
28.0,sami,bela,informacioni,ne,58605.0,master
47.0,u braku,crna,industrijski,,43125.0,master
49.0,sami,bela,industrijski,ne,,master
25.0,udovci,bela,informacioni,da,74545.0,osnovne studije
45.0,sami,druga,industrijski,da,78915.0,osnovne studije
42.0,u braku,bela,industrijski,da,41755.0,osnovne studije
31.0,u braku,bela,industrijski,da,36158.0,osnovne studije
31.0,u braku,azijska,informacioni,da,52077.0,master
33.0,u braku,bela,industrijski,da,50921.0,master
21.0,udovci,azijska,informacioni,,51898.0,osnovne studije
44.0,sami,bela,informacioni,da,48446.0,osnovne studije
55.0,sami,bela,informacioni,da,32511.0,osnovne studije
31.0,sami,bela,informacioni,ne,69419.0,osnovne studije
41.0,u braku,bela,industrijski,da,54082.0,osnovne studije
,u braku,bela,industrijski,ne,41847.0,master
28.0,u braku,bela,industrijski,da,79164.0,osnovne studije
34.0,,bela,informacioni,da,83238.0,osnovne studije
44.0,udovci,bela,informacioni,da,,
31.0,u braku,bela,informacioni,da,52246.0,master
64.0,u braku,crna,industrijski,da,65189.0,osnovne studije
40.0,sami,crna,industrijski,da,54974.0,doktorat
34.0,u braku,bela,industrijski,ne,94650.0,osnovne studije
34.0,udovci,bela,informacioni,da,37679.0,osnovne studije
40.0,u braku,bela,informacioni,da,69715.0,doktorat
26.0,udovci,druga,industrijski,da,65197.0,osnovne studije
32.0,u braku,bela,industrijski,da,41797.0,osnovne studije
27.0,u braku,bela,,ne,48972.0,osnovne studije
49.0,u braku,bela,industrijski,da,79429.0,doktorat
45.0,udovci,bela,industrijski,da,50793.0,master
59.0,u braku,bela,industrijski,da,90829.0,
38.0,sami,druga,industrijski,da,56899.0,
41.0,u braku,druga,industrijski,da,,doktorat
45.0,u braku,azijska,industrijski,da,55748.0,osnovne studije
21.0,u braku,azijska,informacioni,da,73256.0,master
50.0,u braku,bela,informacioni,ne,34169.0,master
42.0,,bela,informacioni,,50274.0,osnovne studije
37.0,u braku,bela,industrijski,ne,62082.0,osnovne studije
49.0,sami,druga,informacioni,da,60787.0,osnovne studije
40.0,u braku,bela,informacioni,ne,89124.0,master
59.0,u braku,crna,industrijski,da,47580.0,master
43.0,udovci,,informacioni,ne,68581.0,osnovne studije
47.0,u braku,,industrijski,,45153.0,doktorat
42.0,sami,bela,informacioni,da,69312.0,master
34.0,sami,azijska,industrijski,da,52458.0,master
45.0,u braku,,informacioni,ne,45038.0,master
,u braku,bela,informacioni,da,62891.0,doktorat
41.0,u braku,bela,industrijski,da,48230.0,osnovne studije
47.0,sami,crna,informacioni,da,,osnovne studije
37.0,u braku,bela,industrijski,da,79741.0,osnovne studije
38.0,sami,bela,informacioni,ne,44268.0,osnovne studije
,sami,druga,informacioni,,40416.0,osnovne studije
35.0,sami,bela,informacioni,da,69575.0,
44.0,u braku,bela,industrijski,,42738.0,master
60.0,u braku,bela,informacioni,da,74728.0,osnovne studije
50.0,u braku,bela,industrijski,ne,40717.0,osnovne studije
33.0,sami,druga,industrijski,da,60174.0,osnovne studije
48.0,u braku,bela,informacioni,da,41877.0,master
32.0,u braku,bela,industrijski,da,59790.0,master
41.0,u braku,crna,,da,96387.0,osnovne studije
36.0,sami,bela,informacioni,da,85908.0,master
29.0,u braku,crna,industrijski,ne,94745.0,osnovne studije
45.0,udovci,crna,industrijski,da,65740.0,doktorat
42.0,sami,bela,informacioni,da,,osnovne studije
32.0,u braku,,industrijski,ne,55644.0,
32.0,sami,druga,industrijski,da,38786.0,osnovne studije
40.0,u braku,bela,informacioni,,59136.0,osnovne studije
37.0,u braku,bela,industrijski,da,47535.0,master
45.0,udovci,azijska,industrijski,da,51964.0,
35.0,sami,crna,industrijski,ne,52421.0,osnovne studije
43.0,sami,bela,informacioni,ne,36281.0,master
34.0,u braku,druga,industrijski,ne,65910.0,osnovne studije
30.0,u braku,druga,,da,63629.0,master
33.0,u braku,bela,industrijski,,81717.0,master
11.0,udovci,bela,,,66751.0,
38.0,u braku,crna,informacioni,da,33999.0,osnovne studije
43.0,u braku,crna,industrijski,da,50492.0,osnovne studije
45.0,u braku,druga,informacioni,da,64559.0,osnovne studije
55.0,sami,bela,informacioni,da,95026.0,
33.0,sami,bela,industrijski,ne,78509.0,doktorat
24.0,u braku,bela,informacioni,ne,79597.0,osnovne studije
40.0,u braku,bela,informacioni,ne,67856.0,doktorat
27.0,u braku,crna,,da,34733.0,master
40.0,sami,bela,informacioni,ne,39521.0,osnovne studije
,udovci,crna,informacioni,ne,72482.0,doktorat
38.0,u braku,bela,industrijski,da,,osnovne studije
50.0,udovci,bela,industrijski,da,55358.0,osnovne studije
29.0,u braku,,industrijski,ne,36029.0,osnovne studije
44.0,udovci,bela,informacioni,ne,72106.0,master
29.0,u braku,bela,industrijski,da,31092.0,master
40.0,sami,bela,informacioni,da,60036.0,osnovne studije
20.0,,bela,informacioni,da,43128.0,osnovne studije
36.0,u braku,bela,informacioni,da,55214.0,osnovne studije
44.0,sami,bela,informacioni,da,60853.0,osnovne studije
32.0,u braku,crna,industrijski,da,56972.0,osnovne studije
34.0,u braku,bela,informacioni,ne,41530.0,osnovne studije
37.0,u braku,crna,industrijski,ne,49966.0,osnovne studije
39.0,u braku,bela,informacioni,da,52824.0,osnovne studije
42.0,udovci,bela,industrijski,da,32620.0,osnovne studije
54.0,udovci,bela,informacioni,ne,27634.0,master
35.0,u braku,bela,industrijski,da,,osnovne studije
36.0,sami,bela,informacioni,da,57043.0,osnovne studije
40.0,udovci,azijska,industrijski,da,50982.0,
33.0,udovci,crna,industrijski,ne,48170.0,osnovne studije
23.0,u braku,bela,industrijski,ne,27230.0,srednja skola
49.0,u braku,crna,industrijski,ne,55875.0,osnovne studije
35.0,u braku,bela,informacioni,da,48063.0,master
29.0,sami,azijska,informacioni,da,48242.0,doktorat
57.0,u braku,bela,industrijski,ne,58876.0,osnovne studije
27.0,u braku,crna,informacioni,da,95547.0,osnovne studije
44.0,u braku,,industrijski,da,41939.0,osnovne studije
33.0,u braku,bela,informacioni,da,61645.0,master
59.0,sami,bela,informacioni,da,86900.0,osnovne studije
42.0,u braku,bela,informacioni,da,57604.0,master
19.0,u braku,crna,informacioni,da,46702.0,osnovne studije
38.0,u braku,bela,industrijski,ne,35562.0,osnovne studije
,sami,crna,informacioni,ne,74000.0,osnovne studije
40.0,udovci,,industrijski,da,61181.0,master
23.0,udovci,bela,industrijski,da,104715.0,master
,udovci,druga,informacioni,da,37249.0,osnovne studije
36.0,u braku,bela,industrijski,da,35678.0,osnovne studije
38.0,u braku,azijska,industrijski,da,88812.0,osnovne studije
40.0,u braku,bela,industrijski,da,44581.0,osnovne studije
45.0,,crna,industrijski,ne,59215.0,master
31.0,sami,bela,informacioni,ne,89357.0,osnovne studije
25.0,udovci,bela,industrijski,da,59649.0,doktorat
28.0,u braku,bela,informacioni,da,40176.0,master
33.0,u braku,crna,industrijski,da,57956.0,osnovne studije
46.0,sami,bela,informacioni,ne,63778.0,master
,sami,bela,informacioni,ne,75770.0,doktorat
42.0,u braku,,informacioni,da,69274.0,osnovne studije
41.0,u braku,crna,informacioni,da,39893.0,osnovne studije
35.0,,crna,industrijski,ne,61735.0,osnovne studije
48.0,u braku,bela,informacioni,ne,40082.0,osnovne studije
53.0,udovci,crna,industrijski,ne,,master
,sami,crna,,da,34017.0,doktorat
45.0,sami,bela,informacioni,da,50182.0,
47.0,sami,bela,industrijski,ne,66246.0,master
52.0,sami,azijska,informacioni,ne,66872.0,osnovne studije
32.0,u braku,bela,informacioni,ne,28546.0,osnovne studije
39.0,u braku,azijska,informacioni,ne,52274.0,osnovne studije
47.0,u braku,crna,informacioni,da,33488.0,
29.0,sami,druga,industrijski,ne,58281.0,osnovne studije
19.0,sami,bela,informacioni,da,120945.0,osnovne studije
31.0,sami,bela,industrijski,da,62437.0,master
40.0,u braku,druga,informacioni,da,56489.0,master
22.0,u braku,bela,informacioni,ne,62417.0,osnovne studije
48.0,udovci,bela,industrijski,ne,51935.0,doktorat
60.0,,azijska,,da,50398.0,osnovne studije
38.0,sami,bela,industrijski,da,84156.0,osnovne studije
39.0,u braku,azijska,informacioni,da,63461.0,
42.0,u braku,bela,industrijski,ne,70423.0,master
49.0,sami,bela,industrijski,da,34657.0,doktorat
,u braku,druga,industrijski,da,54065.0,osnovne studije
44.0,sami,bela,industrijski,ne,38559.0,master
47.0,u braku,bela,industrijski,da,88004.0,osnovne studije
42.0,sami,crna,informacioni,da,86028.0,osnovne studije
55.0,u braku,bela,informacioni,da,34613.0,osnovne studije
31.0,u braku,bela,informacioni,da,39264.0,doktorat
51.0,u braku,bela,industrijski,ne,94284.0,doktorat
35.0,sami,,informacioni,da,56987.0,master
43.0,sami,druga,,da,44088.0,master
37.0,u braku,druga,industrijski,da,63209.0,master
36.0,udovci,bela,industrijski,ne,43544.0,osnovne studije
54.0,u braku,bela,industrijski,da,50527.0,
19.0,u braku,bela,informacioni,da,41572.0,osnovne studije
51.0,u braku,bela,industrijski,da,50687.0,osnovne studije
,sami,crna,industrijski,da,43558.0,osnovne studije
30.0,u braku,bela,informacioni,ne,74343.0,osnovne studije
39.0,u braku,druga,informacioni,da,58080.0,doktorat
49.0,u braku,bela,industrijski,ne,57339.0,osnovne studije
30.0,u braku,bela,,ne,60344.0,osnovne studije
48.0,sami,azijska,informacioni,da,95351.0,osnovne studije
52.0,sami,bela,industrijski,da,43908.0,master
,sami,bela,informacioni,da,,osnovne studije
39.0,,crna,industrijski,da,38893.0,osnovne studije
43.0,sami,bela,industrijski,da,88386.0,master
47.0,u braku,crna,informacioni,da,61186.0,osnovne studije
33.0,sami,bela,informacioni,da,49319.0,osnovne studije
61.0,udovci,,,da,75253.0,doktorat
32.0,u braku,druga,industrijski,da,53467.0,doktorat
34.0,udovci,azijska,industrijski,da,37559.0,osnovne studije
41.0,u braku,azijska,industrijski,ne,38125.0,master
40.0,u braku,azijska,industrijski,ne,54959.0,osnovne studije
40.0,udovci,druga,informacioni,da,42870.0,osnovne studije
47.0,u braku,bela,informacioni,da,119211.0,master
49.0,u braku,druga,industrijski,da,56086.0,master
27.0,u braku,bela,informacioni,da,55092.0,osnovne studije
42.0,u braku,crna,informacioni,da,41695.0,osnovne studije
41.0,sami,bela,industrijski,da,127227.0,master
39.0,udovci,,informacioni,da,82728.0,osnovne studije
49.0,,druga,,da,64333.0,master
41.0,u braku,crna,informacioni,da,88913.0,doktorat
33.0,u braku,azijska,informacioni,ne,,master
44.0,u braku,bela,industrijski,da,40810.0,osnovne studije
48.0,u braku,bela,informacioni,da,28128.0,osnovne studije
